,country,points,price,variety
473,28,87,17.0,22
474,28,87,54.0,14
475,22,87,12.0,16
476,0,87,11.0,9
477,28,87,45.0,5
478,28,87,35.0,10
479,15,87,16.0,5
480,28,87,28.0,14
481,28,87,25.0,17
482,28,87,28.0,17
483,28,87,20.0,17
484,15,87,19.0,26
485,28,92,75.0,14
486,28,92,48.0,14
487,9,92,54.0,7
488,9,92,34.0,19
489,28,92,48.0,27
490,9,92,36.0,19
491,9,92,30.0,13
492,28,92,37.0,5
493,28,92,25.0,13
494,22,92,30.0,15
495,28,92,60.0,5
496,28,92,40.0,3
497,28,92,50.0,14
498,22,92,23.0,15
499,22,92,80.0,15
500,11,92,34.0,19
501,28,92,75.0,3
502,9,92,39.0,19
503,1,92,21.0,19
504,9,92,43.0,19
505,28,92,30.0,27
506,28,92,70.0,14
507,25,92,50.0,18
508,28,90,40.0,5
509,28,90,45.0,3
510,28,90,80.0,3
511,28,90,15.0,12
512,15,90,65.0,11
513,28,90,65.0,3
514,28,90,20.0,19
515,28,90,26.0,19
516,28,90,30.0,9
517,28,90,13.0,3
518,28,90,26.0,19
519,28,90,44.0,14
520,28,90,38.0,3
521,28,90,28.0,14
522,28,90,32.0,5
523,15,90,50.0,24
524,15,90,35.0,24
525,28,90,35.0,3
526,28,90,42.0,24
527,15,90,70.0,17
528,28,90,30.0,3
529,28,90,75.0,14
530,15,90,53.0,11
531,28,90,29.0,5
532,28,91,90.0,3
533,28,91,35.0,17
534,2,91,35.0,17
535,28,91,50.0,9
536,15,91,35.0,17
537,28,91,65.0,2
538,25,91,50.0,22
539,15,91,43.0,17
540,20,91,28.0,22
541,28,91,20.0,0
542,9,91,65.0,20
543,9,91,17.0,20
544,9,91,35.36879626183683,20
545,9,91,20.0,20
546,20,91,28.0,22
547,9,91,20.0,20
548,9,91,20.0,20
549,9,91,25.0,20
550,28,91,38.0,27
551,20,91,120.0,14
552,28,91,23.0,22
553,28,91,48.0,14
554,28,91,32.0,14
